resultId,circuitID,Weather,raceId,driverId,constructorId,positionOrder,laps,pit_id,pit stops duration,# of pitstops,quali_ position
25084,73,0,1057,840,117,19,29,1057-840,50,0,19
25085,73,0,1057,839,214,20,3,1057-839,50,2,12
25086,34,0,1059,830,9,1,53,1059-830,29.803,1,1
25087,34,0,1059,1,131,2,53,1059-1,30.263,1,2
25088,34,0,1059,815,9,3,53,1059-815,29.682,1,4
25089,34,0,1059,822,131,4,53,1059-822,30.572,1,3
25090,34,0,1059,846,1,5,53,1059-846,30.531,1,8
25091,34,0,1059,817,1,6,53,1059-817,29.951,1,10
25092,34,0,1059,842,213,7,53,1059-842,30.781,1,6
25093,34,0,1059,4,214,8,53,1059-4,31.288,1,9
25094,34,0,1059,20,117,9,53,1059-20,31.069,1,12
25095,34,0,1059,840,117,10,53,1059-840,30.996,1,19
25096,34,0,1059,832,6,11,53,1059-832,30.534,1,5
25097,34,0,1059,847,3,12,52,1059-847,30.092,1,14
25098,34,0,1059,852,213,13,52,1059-852,30.226,1,20
25099,34,0,1059,839,214,14,52,1059-839,30.207,1,11
25100,34,0,1059,841,51,15,52,1059-841,30.586,2,13
25101,34,0,1059,844,6,16,52,1059-844,30.798,1,7
25102,34,0,1059,8,51,17,52,1059-8,31.327,1,17
25103,34,0,1059,849,3,18,52,1059-849,29.775,1,16
25104,34,0,1059,854,210,19,52,1059-854,31.457,1,15
25105,34,0,1059,853,210,20,52,1059-853,30.983,1,18
25106,70,0,1058,830,9,1,71,1058-830,20.936,2,1
25107,70,0,1058,1,131,2,71,1058-1,21.219,1,3
25108,70,0,1058,822,131,3,71,1058-822,21.752,2,2
25109,70,0,1058,815,9,4,71,1058-815,23.477,1,5
25110,70,0,1058,846,1,5,70,1058-846,21.692,1,4
25111,70,0,1058,832,6,6,70,1058-832,21.226,2,12
25112,70,0,1058,844,6,7,70,1058-844,28.386,1,7
25113,70,0,1058,840,117,8,70,1058-840,20.936,1,10
25114,70,0,1058,4,214,9,70,1058-4,21.131,1,9
25115,70,0,1058,852,213,10,70,1058-852,21.234,1,8
25116,70,0,1058,8,51,11,70,1058-8,21.227,1,18
25117,70,0,1058,20,117,12,70,1058-20,21.546,1,14
25118,70,0,1058,817,1,13,70,1058-817,21.41,1,13
25119,70,0,1058,839,214,14,70,1058-839,21.238,1,17
25120,70,0,1058,841,51,15,70,1058-841,21.21,1,15
25121,70,0,1058,854,210,16,69,1058-854,22.4,2,19
25122,70,0,1058,849,3,17,68,1058-849,26.419,1,16
25123,70,0,1058,853,210,18,68,1058-853,22.759,2,20
25124,70,0,1058,847,3,19,36,1058-847,37.309,0,11
25125,70,0,1058,842,213,20,1,1058-842,50,2,6
25126,70,0,1060,830,9,1,71,1060-830,21.09,1,1
25127,70,0,1060,822,131,2,71,1060-822,21.071,1,5
25128,70,0,1060,846,1,3,71,1060-846,26.474,2,2
25129,70,0,1060,1,131,4,71,1060-1,21.005,1,4
25130,70,0,1060,832,6,5,71,1060-832,21.431,1,11
25131,70,0,1060,815,9,6,71,1060-815,21.735,1,3
25132,70,0,1060,817,1,7,71,1060-817,21.151,1,13
25133,70,0,1060,844,6,8,71,1060-844,21.143,2,12
25134,70,0,1060,842,213,9,71,1060-842,22.564,1,6
25135,70,0,1060,4,214,10,70,1060-4,22.663,1,14
25136,70,0,1060,847,3,11,70,1060-847,21.606,2,9
25137,70,0,1060,852,213,12,70,1060-852,21.145,2,7
25138,70,0,1060,840,117,13,70,1060-840,21.391,2,10
25139,70,0,1060,841,51,14,70,1060-841,21.129,1,15
25140,70,0,1060,8,51,15,70,1060-8,21.896,1,16
25141,70,0,1060,849,3,16,70,1060-849,21.152,2,18
25142,70,0,1060,20,117,17,69,1060-20,21.086,1,8
25143,70,0,1060,854,210,18,69,1060-854,21.798,2,19
25144,70,0,1060,853,210,19,69,1060-853,22,0,20
25145,70,0,1060,839,214,20,0,1060-839,50,2,17
25146,9,0,1061,1,131,1,52,1061-1,68.376,2,1
25147,9,0,1061,844,6,2,52,1061-844,67.731,2,4
25148,9,0,1061,822,131,3,52,1061-822,69.149,2,3
25149,9,0,1061,846,1,4,52,1061-846,72.218,2,6
25150,9,0,1061,817,1,5,52,1061-817,71.281,2,7
25151,9,0,1061,832,6,6,52,1061-832,79.122,2,9
25152,9,0,1061,4,214,7,52,1061-4,78.58,2,11
25153,9,0,1061,840,117,8,52,1061-840,87.861,2,15
25154,9,0,1061,839,214,9,52,1061-839,86.994,2,13
25155,9,0,1061,852,213,10,52,1061-852,95.695,3,16
25156,9,0,1061,842,213,11,52,1061-842,87.244,2,12
25157,9,0,1061,847,3,12,51,1061-847,92.543,2,8
25158,9,0,1061,841,51,13,51,1061-841,90.25,2,14
25159,9,0,1061,849,3,14,51,1061-849,97.164,2,18
25160,9,0,1061,8,51,15,51,1061-8,82.984,4,17
25161,9,0,1061,815,9,16,51,1061-815,96.405,2,5
25162,9,0,1061,853,210,17,51,1061-853,96.977,2,20
25163,9,0,1061,854,210,18,51,1061-854,95.728,2,19
25164,9,0,1061,20,117,19,40,1061-20,75.222,0,10
25165,9,0,1061,830,9,20,0,1061-830,80,3,2
25166,11,1,1062,839,214,1,70,1062-839,10.19,4,8
25167,11,1,1062,1,131,2,70,1062-1,9.259,3,1
25168,11,1,1062,832,6,3,70,1062-832,12.527,3,15
25169,11,1,1062,4,214,4,70,1062-4,14.979,4,9
25170,11,1,1062,842,213,5,70,1062-842,17.615,3,5
25171,11,1,1062,852,213,6,70,1062-852,13.63,3,16
25172,11,1,1062,849,3,7,70,1062-849,14.435,3,18
25173,11,1,1062,847,3,8,70,1062-847,17.487,5,17
25174,11,1,1062,830,9,9,70,1062-830,22.569,4,3
25175,11,1,1062,8,51,10,69,1062-8,17.844,3,13
25176,11,1,1062,817,1,11,69,1062-817,17.127,3,11
25177,11,1,1062,854,210,12,69,1062-854,17.042,5,20
25178,11,1,1062,841,51,13,69,1062-841,26.573,2,14
25179,11,1,1062,853,210,14,3,1062-853,23.715,1,19
25180,11,1,1062,846,1,15,2,1062-846,38.267,0,6
25181,11,1,1062,822,131,16,0,1062-822,80,0,2
25182,11,1,1062,815,9,17,0,1062-815,80,0,4
25183,11,1,1062,844,6,18,0,1062-844,80,0,7
25184,11,1,1062,840,117,19,0,1062-840,80,3,12
25185,11,1,1062,20,117,20,70,1062-20,11.89,0,10
25186,13,1,1063,830,9,1,1,1063-830,80,0,1
25187,13,1,1063,847,3,2,1,1063-847,80,0,2
25188,13,1,1063,1,131,3,1,1063-1,80,0,3
25189,13,1,1063,817,1,4,1,1063-817,80,0,4
25190,13,1,1063,20,117,5,1,1063-20,80,0,5
25191,13,1,1063,842,213,6,1,1063-842,80,0,6
25192,13,1,1063,839,214,7,1,1063-839,80,0,9
25193,13,1,1063,844,6,8,1,1063-844,80,0,11
25194,13,1,1063,849,3,9,1,1063-849,80,0,12
25195,13,1,1063,832,6,10,1,1063-832,80,0,13
25196,13,1,1063,4,214,11,1,1063-4,80,0,14
25197,13,1,1063,822,131,12,1,1063-822,80,0,8
25198,13,1,1063,841,51,13,1,1063-841,80,0,16
25199,13,1,1063,846,1,14,1,1063-846,80,0,10
25200,13,1,1063,852,213,15,1,1063-852,80,0,17
25201,13,1,1063,854,210,16,1,1063-854,80,0,18
25202,13,1,1063,853,210,17,1,1063-853,50,0,20
25203,13,1,1063,8,51,18,1,1063-8,50,0,19
25204,13,1,1063,815,9,19,1,1063-815,50,0,7
25205,13,1,1063,840,117,20,1,1063-840,50,2,15
25206,39,0,1064,830,9,1,72,1064-830,19.142,3,1
25207,39,0,1064,1,131,2,72,1064-1,19.77,2,2
25208,39,0,1064,822,131,3,72,1064-822,18.873,1,3
25209,39,0,1064,842,213,4,71,1064-842,19.163,1,4
25210,39,0,1064,844,6,5,71,1064-844,19.49,1,5
25211,39,0,1064,4,214,6,71,1064-4,19.018,1,9
25212,39,0,1064,832,6,7,71,1064-832,20.327,2,6
25213,39,0,1064,815,9,8,71,1064-815,19.287,1,16
25214,39,0,1064,839,214,9,71,1064-839,19.24,1,8
25215,39,0,1064,846,1,10,71,1064-846,20.443,1,13
25216,39,0,1064,817,1,11,71,1064-817,19.449,1,10
25217,39,0,1064,840,117,12,70,1064-840,19.389,2,12
25218,39,0,1064,20,117,13,70,1064-20,18.664,2,17
25219,39,0,1064,841,51,14,70,1064-841,19.049,1,7
25220,39,0,1064,9,51,15,70,1064-9,19.708,1,18
25221,39,0,1064,849,3,16,70,1064-849,20.646,2,14
25222,39,0,1064,847,3,17,69,1064-847,18.634,2,11
25223,39,0,1064,854,210,18,69,1064-854,35.573,1,19
25224,39,0,1064,852,213,19,48,1064-852,19.85,1,15
25225,39,0,1064,853,210,20,41,1064-853,19.999,1,20
25226,14,0,1065,817,1,1,53,1065-817,23.812,1,5
25227,14,0,1065,846,1,2,53,1065-846,24.168,1,4
25228,14,0,1065,822,131,3,53,1065-822,24.308,1,1
25229,14,0,1065,844,6,4,53,1065-844,24.557,1,8
25230,14,0,1065,815,9,5,53,1065-815,23.906,1,9
25231,14,0,1065,832,6,6,53,1065-832,24.283,1,7
25232,14,0,1065,840,117,7,53,1065-840,24.846,1,12
25233,14,0,1065,4,214,8,53,1065-4,24.797,1,13
25234,14,0,1065,847,3,9,53,1065-847,24.156,1,15
25235,14,0,1065,839,214,10,53,1065-839,30.333,1,14
25236,14,0,1065,849,3,11,53,1065-849,24.168,2,16
25237,14,0,1065,20,117,12,53,1065-20,25.157,2,11
25238,14,0,1065,841,51,13,53,1065-841,37.19,1,10
25239,14,0,1065,9,51,14,53,1065-9,24.501,1,19
25240,14,0,1065,854,210,15,53,1065-854,24.714,3,18
25241,14,0,1065,853,210,16,41,1065-853,24.928,1,20
25242,14,0,1065,1,131,17,25,1065-1,25.619,1,2
25243,14,0,1065,830,9,18,25,1065-830,32.456,0,3
25244,14,0,1065,842,213,19,3,1065-842,80,0,6
25245,14,0,1065,852,213,20,0,1065-852,80,2,17
25246,71,1,1066,1,131,1,53,1066-1,29.878,2,4
25247,71,1,1066,830,9,2,53,1066-830,29.578,2,20
25248,71,1,1066,832,6,3,53,1066-832,30.715,2,2
25249,71,1,1066,817,1,4,53,1066-817,33.617,2,5
25250,71,1,1066,822,131,5,53,1066-822,29.936,2,7
25251,71,1,1066,4,214,6,53,1066-4,30.157,2,6
25252,71,1,1066,846,1,7,53,1066-846,29.824,2,1
25253,71,1,1066,8,51,8,53,1066-8,30.102,2,16
25254,71,1,1066,815,9,9,53,1066-815,36.026,2,9
25255,71,1,1066,847,3,10,53,1066-847,30.665,2,3
25256,71,1,1066,840,117,11,53,1066-840,30.241,2,8
25257,71,1,1066,20,117,12,52,1066-20,29.242,2,11
25258,71,1,1066,842,213,13,52,1066-842,29.354,2,12
25259,71,1,1066,839,214,14,52,1066-839,29.901,2,10
25260,71,1,1066,844,6,15,52,1066-844,31.849,2,15
25261,71,1,1066,841,51,16,52,1066-841,30.081,3,18
25262,71,1,1066,852,213,17,52,1066-852,30.112,2,13
25263,71,1,1066,853,210,18,51,1066-853,30.127,1,19
25264,71,1,1066,849,3,19,47,1066-849,30.056,1,14
25265,71,1,1066,854,210,20,32,1066-854,29.996,1,17
25266,5,1,1067,822,131,1,58,1067-822,22.962,1,2
