resultId,circuitID,Weather,raceId,driverId,constructorId,positionOrder,laps,pit_id,pit stops duration,# of pitstops,quali_ position
25425,3,0,1074,842,213,20,44,1074-842,24.575,1,10
25426,77,0,1075,830,9,1,50,1075-830,20.731,1,4
25427,77,0,1075,844,6,2,50,1075-844,21.038,1,2
25428,77,0,1075,832,6,3,50,1075-832,21.521,1,3
25429,77,0,1075,815,9,4,50,1075-815,20.481,1,1
25430,77,0,1075,847,131,5,50,1075-847,21.415,1,6
25431,77,0,1075,839,214,6,50,1075-839,21.141,1,5
25432,77,0,1075,846,1,7,50,1075-846,20.383,1,11
25433,77,0,1075,842,213,8,50,1075-842,22.82,1,9
25434,77,0,1075,825,210,9,50,1075-825,22.374,1,10
25435,77,0,1075,1,131,10,50,1075-1,21.788,2,16
25436,77,0,1075,855,51,11,50,1075-855,33.734,1,13
25437,77,0,1075,807,117,12,50,1075-807,21.425,1,18
25438,77,0,1075,840,117,13,49,1075-840,22.339,1,15
25439,77,0,1075,848,3,14,47,1075-848,20.683,2,17
25440,77,0,1075,822,51,15,36,1075-822,22.561,1,8
25441,77,0,1075,4,214,16,35,1075-4,21.543,1,7
